指標名稱,相似度,片段內容
G-1-1,0.8423463441680366,"高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。  
 
行政管理處負責本行溫室氣體盤查統計，以及辦理本行氣候風險相關教育訓練。  
 
業務發展處負責於擬定業務發展策略及營運目標時，循序漸進將氣候風險之影響
程度及發生頻率等因素納入考量，並評估氣候變遷帶來的業務機會，於考量本行
業務及組織規模等因素後，擬定各項業務發展計畫，以及依據本行業務規模，逐
步建置氣候風險績效指標。"
G-1-1,0.8390176958629493,"3 
 
1 氣候治理  
將來銀行 董事會為 本行氣候變遷相關 風險最高治理單位，負責監督及審議 本行氣
候風險管理政策與相關策略 ，董事會下設置 「風險管理委員會」 ，負責 檢視本行
氣候風險管理機制之落實狀況，以 確保氣候風險管理機制之適當性 。 
風險管理委員會由董事長擔任召集人，並由董事長指派至少二名董事組成之，另
基於風險管理考量董事長得增加指派本行高階經理人擔任委員，定期檢視包括政
策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會"
G-1-1,0.8335080383738063,"策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會  
董事長  
 
風險管理委員會  
 
總經理  
 
風
險
控
管
處 
行
政
管
理
處 
業
務
發
展
處"
G-1-1,0.831468617924282,"4 
 
1.2 董事會職責  
董事會負責核定氣候風險管理政策與相關策略，並據以指導、監督及管理氣候風
險之暴險情形，以及負責確保本行訂定之定性及定量措施符合本行風險胃納，並
認知氣候風險對本行財務之可能影響，對確保建立及維持適當有效之氣候風險管
理制度負最終責任。  
 
1.3 風險管理委員會  
風險管理委員會負責檢視本行氣候風險管理機制與氣候風險相關監控指標及暴
險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以"
G-1-1,0.828077382772829,"險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以
及配置適當氣候風險管理資源，包含人員教育訓練、人力配置及系統建置等。  
 
1.5 風險控管處及其他單位職責  
風險控管處負責氣候風險管理制度之規劃與氣候風險指標建置，定期向董事會、
高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。"
G-1-2,0.8495767422178263,"3 
 
1 氣候治理  
將來銀行 董事會為 本行氣候變遷相關 風險最高治理單位，負責監督及審議 本行氣
候風險管理政策與相關策略 ，董事會下設置 「風險管理委員會」 ，負責 檢視本行
氣候風險管理機制之落實狀況，以 確保氣候風險管理機制之適當性 。 
風險管理委員會由董事長擔任召集人，並由董事長指派至少二名董事組成之，另
基於風險管理考量董事長得增加指派本行高階經理人擔任委員，定期檢視包括政
策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會"
G-1-2,0.8466048791795763,"高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。  
 
行政管理處負責本行溫室氣體盤查統計，以及辦理本行氣候風險相關教育訓練。  
 
業務發展處負責於擬定業務發展策略及營運目標時，循序漸進將氣候風險之影響
程度及發生頻率等因素納入考量，並評估氣候變遷帶來的業務機會，於考量本行
業務及組織規模等因素後，擬定各項業務發展計畫，以及依據本行業務規模，逐
步建置氣候風險績效指標。"
G-1-2,0.8453912800743093,"策、規章、監控指標、限額等氣候風險管理機制。  
 
1.1 氣候治理架構  
本行氣候風險治理架構圖  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
董事會  
董事長  
 
風險管理委員會  
 
總經理  
 
風
險
控
管
處 
行
政
管
理
處 
業
務
發
展
處"
G-1-2,0.8435691974758258,"4 
 
1.2 董事會職責  
董事會負責核定氣候風險管理政策與相關策略，並據以指導、監督及管理氣候風
險之暴險情形，以及負責確保本行訂定之定性及定量措施符合本行風險胃納，並
認知氣候風險對本行財務之可能影響，對確保建立及維持適當有效之氣候風險管
理制度負最終責任。  
 
1.3 風險管理委員會  
風險管理委員會負責檢視本行氣候風險管理機制與氣候風險相關監控指標及暴
險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以"
G-1-2,0.8367428332552695,"險狀況，確保氣候風險管理機制之適當性，以及檢視重大氣候風險事件因應措施
之處理情形。  
 
1.4 高階管理階層職責  
高階管理階層負責督導經董事會核准之氣候風險管理政策與相關策略之執行，以
及配置適當氣候風險管理資源，包含人員教育訓練、人力配置及系統建置等。  
 
1.5 風險控管處及其他單位職責  
風險控管處負責氣候風險管理制度之規劃與氣候風險指標建置，定期向董事會、
高階管理階層與風險管理委員會報告風險管理執行情形暨改善報告。如遇重大情
事，應立即採取適當措施並向董事會報告，以及執行氣候變遷情境分析或壓力測
試，瞭解本行氣候風險相關策略之韌性與調適能力。"
